Type,Image,Color
Bug,Assets/Sprites/Types/Bug.png,#A8B820
Dragon,Assets/Sprites/Types/Dragon.png,#7038F8
Electric,Assets/Sprites/Types/Electric.png,#F8D030
Fighting,Assets/Sprites/Types/Fighting.png,#C03028
Fire,Assets/Sprites/Types/Fire.png,#F08030
Flying,Assets/Sprites/Types/Flying.png,#A890F0
Ghost,Assets/Sprites/Types/Ghost.png,#705898
Grass,Assets/Sprites/Types/Grass.png,#78C850
Ground,Assets/Sprites/Types/Ground.png,#E0C068
Ice,Assets/Sprites/Types/Ice.png,#98D8D8
Normal,Assets/Sprites/Types/Normal.png,#A8A878
Poison,Assets/Sprites/Types/Poison.png,#A040A0
Psychic,Assets/Sprites/Types/Psychic.png,#F85888
Rock,Assets/Sprites/Types/Rock.png,#B8A038
Water,Assets/Sprites/Types/Water.png,#6890F0
