Number,Name,Type1,Type2,Rarity,Red_Weight,Blue_Weight,Yellow_Weight,Image,Species,Height_ft,Weight_lbs,Pokedex_Entry
001,Bulbasaur,Grass,Poison,Uncommon,1,1,1,Assets/Sprites/Pokemon/001_Bulbasaur.png,Seed,2.3,15.2,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
002,Ivysaur,Grass,Poison,Rare,1,1,1,Assets/Sprites/Pokemon/002_Ivysaur.png,Seed,3.3,28.7,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
003,Venusaur,Grass,Poison,Epic,1,1,1,Assets/Sprites/Pokemon/003_Venusaur.png,Seed,6.6,220.5,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
004,Charmander,Fire,,Uncommon,1,1,1,Assets/Sprites/Pokemon/004_Charmander.png,Lizard,2.0,18.7,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
005,Charmeleon,Fire,,Rare,1,1,1,Assets/Sprites/Pokemon/005_Charmeleon.png,Flame,3.6,41.9,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
006,Charizard,Fire,Flying,Epic,1,1,1,Assets/Sprites/Pokemon/006_Charizard.png,Flame,5.6,199.5,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
007,Squirtle,Water,,Uncommon,1,1,1,Assets/Sprites/Pokemon/007_Squirtle.png,Tiny Turtle,1.6,19.8,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
008,Wartortle,Water,,Rare,1,1,1,Assets/Sprites/Pokemon/008_Wartortle.png,Turtle,3.3,49.6,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
009,Blastoise,Water,,Epic,1,1,1,Assets/Sprites/Pokemon/009_Blastoise.png,Shellfish,5.2,188.5,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
010,Caterpie,Bug,,Common,1,1,1,Assets/Sprites/Pokemon/010_Caterpie.png,Worm,1.0,6.4,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
011,Metapod,Bug,,Common,1,1,1,Assets/Sprites/Pokemon/011_Metapod.png,Cocoon,2.3,21.8,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
012,Butterfree,Bug,Flying,Uncommon,1,1,1,Assets/Sprites/Pokemon/012_Butterfree.png,Butterfly,3.6,70.5,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
013,Weedle,Bug,Poison,Common,1,1,0,Assets/Sprites/Pokemon/013_Weedle.png,Hairy Bug,1.0,7.1,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
